ORF	Gene_name	Phenotypic_potential	AMS_PPI_degree	LC_SLI_degree	Haploid_fitness	Description
YDR222W	YDR222W	0.454	NA	NA	1.013	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
YOR180C	DCI1	0.4539	NA	NA	0.948	Peroxisomal delta(3,5)-delta(2,4)-dienoyl-CoA isomerase, involved in fatty acid metabolism, contains peroxisome targeting signals at amino and carboxy termini
YDR317W	HIM1	0.4533	NA	NA	1.05	Protein of unknown function involved in DNA repair
YDL019C	OSH2	0.4533	9	1	0.957	Member of an oxysterol-binding protein family with seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability
YDR074W	TPS2	0.4532	5	1	0.873	Phosphatase subunit of the trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway
YBL055C	YBL055C	0.4528	2	NA	0.968	3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases
YNL031C	HHT2	0.4528	31	5	1.054	One of two identical histone H3 proteins (see also HHT1); core histone required for chromatin assembly, involved in heterochromatin-mediated telomeric and HM silencing; regulated by acetylation, methylation, and mitotic phosphorylation
YNL283C	WSC2	0.4526	NA	NA	1.069	Partially redundant sensor-transducer of the stress-activated PKC1-MPK1 signaling pathway involved in maintenance of cell wall integrity and recovery from heat shock; secretory pathway Wsc2p is required for the arrest of secretion response
YBR171W	SEC66	0.4525	4	14	0.905	Non-essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER
YJL145W	SFH5	0.4525	NA	NA	0.994	Putative phosphatidylinositol transfer protein (PITP), exhibits phosphatidylinositol- but not phosphatidylcholine-transfer activity, mainly localized to cytosol and microsomes, similar to Sec14p; may be PITP regulator rather than actual PITP
YDR185C	YDR185C	0.4524	NA	NA	1.021	Mitochondrial protein of unknown function; has similarity to Ups1p, which is involved in regulation of alternative topogenesis of the dynamin-related GTPase Mgm1p
YGL210W	YPT32	0.4523	1	2	0.983	GTPase of the Ypt/Rab family, very similar to Ypt31p; involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi
YMR199W	CLN1	0.4519	3	11	1.005	G1 cyclin involved in regulation of the cell cycle; activates Cdc28p kinase to promote the G1 to S phase transition; late G1 specific expression depends on transcription factor complexes, MBF (Swi6p-Mbp1p) and SBF (Swi6p-Swi4p)
YOR120W	GCY1	0.4515	1	NA	1.026	Putative NADP(+) coupled glycerol dehydrogenase, proposed to be involved in an alternative pathway for glycerol catabolism; member of the aldo-keto reductase (AKR) family
YGL009C	LEU1	0.4513	9	NA	1.051	Isopropylmalate isomerase, catalyzes the second step in the leucine biosynthesis pathway
YEL057C	YEL057C	0.4511	1	NA	0.955	Protein of unknown function involved in telomere maintenance; target of UME6 regulation
YGR072W	UPF3	0.4511	2	4	0.977	Component of the nonsense-mediated mRNA decay (NMD) pathway, along with Nam7p and Nmd2p; involved in decay of mRNA containing nonsense codons; involved in telomere maintenance
YOR195W	SLK19	0.4509	2	12	1.011	Kinetochore-associated protein required for normal segregation of chromosomes in meiosis and mitosis; component of the FEAR regulatory network, which promotes Cdc14p release from the nucleolus during anaphase; potential Cdc28p substrate
YGL139W	FLC3	0.4509	NA	NA	1.044	Putative FAD transporter, similar to Flc1p and Flc2p; localized to the ER
YIL152W	YIL152W	0.4508	3	NA	1.001	Putative protein of unknown function
YIL002C	INP51	0.4507	NA	3	0.983	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase, synaptojanin-like protein with an N-terminal Sac1 domain, plays a role in phosphatidylinositol 4,5-bisphosphate homeostasis and in endocytosis; null mutation confers cold-tolerant growth
YJL108C	PRM10	0.4505	NA	NA	1	Pheromone-regulated protein, predicted to have 5 transmembrane segments
YNL314W	DAL82	0.4505	NA	NA	1.103	Positive regulator of allophanate inducible genes; binds a dodecanucleotide sequence upstream of all genes that are induced by allophanate; contains an UISALL DNA-binding, a transcriptional activation, and a coiled-coil domain
YAR003W	SWD1	0.4504	12	28	0.925	Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7
YGR178C	PBP1	0.4502	7	NA	1.022	Protein interacting with poly(A)-binding protein Pab1p; likely involved in controlling the extent of mRNA polyadenylation; forms a complex with Mkt1p that may regulate HO translation; interacts with Lsm12p in a copurification assay
YDL172C	YDL172C	0.4501	NA	NA	1.021	Dubious ORF unlikely to encode a protein, based on available experimental and comparative sequence data
YCR059C	YIH1	0.4501	4	NA	1.013	Protein that inhibits activation of Gcn2p, an eIF2 alpha subunit protein kinase, by competing for Gcn1p binding, thus impacting gene expression in response to starvation; has sequence and functional similarity to the mouse IMPACT gene
YDL223C	HBT1	0.4501	NA	5	0.961	Substrate of the Hub1p ubiquitin-like protein that localizes to the shmoo tip (mating projection); mutants are defective for mating projection formation, thereby implicating Hbt1p in polarized cell morphogenesis
YLR237W	THI7	0.45	NA	NA	0.951	Plasma membrane transporter responsible for the uptake of thiamine, member of the major facilitator superfamily of transporters; mutation of human ortholog causes thiamine-responsive megaloblastic anemia
YJR110W	YMR1	0.4494	2	1	0.996	Phosphatidylinositol 3-phosphate [PI(3)P] phosphatase, regulates the localization and levels of PI(3)P; involved in cytoplasm to vacuole (CVT) transport; has similarity to the conserved myotubularin dual specificity phosphatase family
YDR102C	YDR102C	0.4492	NA	NA	0.992	Dubious open reading frame; homozygous diploid deletion strain exhibits high budding index
YER060W	FCY21	0.4492	1	NA	0.995	Putative purine-cytosine permease, very similar to Fcy2p but cannot substitute for its function
YMR193C-A	YMR193C-A	0.4492	NA	NA	0.915	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YPL212C	PUS1	0.4489	4	2	1.025	tRNA:pseudouridine synthase, introduces pseudouridines at positions 26-28, 34-36, 65, and 67 of tRNA; nuclear protein that appears to be involved in tRNA export; also acts on U2 snRNA
YCR060W	TAH1	0.4488	5	NA	1.047	HSP90 cofactor; interacts with Hsp82p, Pih1p, Rvb1 and Rvb2, contains a single TPR domain with at least two TPR motifs
YGL049C	TIF4632	0.4487	32	1	1.053	Translation initiation factor eIF4G, subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); homologous to Tif4631p
YMR313C	TGL3	0.4486	NA	1	1.045	Triacylglycerol lipase of the lipid particle, responsible for all the TAG lipase activity of the lipid particle; contains the consensus sequence motif GXSXG, which is found in lipolytic enzymes
YIL035C	CKA1	0.4485	104	2	0.968	Alpha catalytic subunit of casein kinase 2, a Ser/Thr protein kinase with roles in cell growth and proliferation; the holoenzyme also contains CKA2, CKB1 and CKB2, the many substrates include transcription factors and all RNA polymerases
YNL201C	PSY2	0.4484	17	2	1.035	Putative subunit of an evolutionarily conserved protein phosphatase complex containing the catalytic subunit Pph3p and the regulatory subunit Psy4p; required for cisplatin and oxaliplatin resistance; localizes to nucleus
YPL157W	TGS1	0.4483	NA	NA	0.849	Trimethyl guanosine synthase, conserved nucleolar methyl transferase responsible for conversion of the m(7)G cap structure of snRNAs and snoRNAs to m(2,2,7)G; also required for ribosome synthesis and nucleolar morphology
YJL116C	NCA3	0.4482	NA	NA	1.01	Protein that functions with Nca2p to regulate mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p ) of the Fo-F1 ATP synthase; member of the SUN family
YOR381W	FRE3	0.4482	1	NA	1.027	Ferric reductase, reduces siderophore-bound iron prior to uptake by transporters; expression induced by low iron levels
YMR247C	RKR1	0.448	1	NA	1.001	Nuclear RING domain protein with functional connections to chromatin modification; may interact with ribosomes, based on co-purification experiments; YMR247C is not an essential gene
YJL179W	PFD1	0.4478	5	6	0.921	Subunit of heterohexameric prefoldin, which binds cytosolic chaperonin and transfers target proteins to it; involved in the biogenesis of actin and of alpha- and gamma-tubulin
YJR117W	STE24	0.4477	NA	8	1.061	Highly conserved zinc metalloprotease that functions in two steps of a-factor maturation, C-terminal CAAX proteolysis and the first step of N-terminal proteolytic processing; contains multiple transmembrane spans
YLR142W	PUT1	0.4476	NA	NA	1.006	Proline oxidase, nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; PUT1 transcription is induced by Put3p in the presence of proline and the absence of a preferred nitrogen source
YPL265W	DIP5	0.4475	1	NA	1.036	Dicarboxylic amino acid permease, mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly
YDL168W	SFA1	0.4474	8	NA	0.689	Bifunctional enzyme containing both alcohol dehydrogenase and glutathione-dependent formaldehyde dehydrogenase activities, functions in formaldehyde detoxification and formation of long chain and complex alcohols, regulated by Hog1p-Sko1p
YCR019W	MAK32	0.4472	NA	NA	1.04	Protein necessary for structural stability of L-A double-stranded RNA-containing particles
YBR238C	YBR238C	0.4471	3	NA	0.981	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and mitochondrion; YBR238C is not an essential gene; transcriptionally up-regulated by TOR and deletion increases life span
YJL110C	GZF3	0.447	2	NA	0.996	GATA zinc finger protein and Dal80p homolog that negatively regulates nitrogen catabolic gene expression by competing with Gat1p for GATA site binding; function requires a repressive carbon source; dimerizes with Dal80p and binds to Tor1p
YJR095W	SFC1	0.4468	NA	NA	1.035	Mitochondrial succinate-fumarate transporter, transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YHR126C	YHR126C	0.4468	NA	NA	1.025	Putative protein of unknown function; transcription dependent upon Azf1p
YGR161C	RTS3	0.4464	8	1	1.048	Putative component of the protein phosphatase type 2A complex
YIL088C	AVT7	0.4463	NA	NA	0.991	Putative transporter, member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters
YMR137C	PSO2	0.4462	3	NA	1.035	Required for a post-incision step in the repair of DNA single and double-strand breaks that result from interstrand crosslinks produced by a variety of mono- and bi-functional psoralen derivatives; induced by UV-irradiation
YKL072W	STB6	0.446	NA	NA	1.258	Protein that binds Sin3p in a two-hybrid assay
YDR256C	CTA1	0.4459	NA	NA	1.009	Catalase A, breaks down hydrogen peroxide in the peroxisomal matrix formed by acyl-CoA oxidase (Pox1p) during fatty acid beta-oxidation
YGR045C	YGR045C	0.4456	NA	NA	0.993	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
YBR090C	YBR090C	0.4456	NA	NA	1.087	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
YBL011W	SCT1	0.4452	NA	NA	0.965	Glycerol 3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase of the glycerolipid biosynthesis pathway, prefers 16-carbon fatty acids, similar to Gpt2p, gene is constitutively transcribed
YLL017W	YLL017W	NA	NA	NA	NA	NA
YKL033W-A	YKL033W-A	0.445	NA	NA	NA	Putative protein of unknown function; similar to uncharacterized proteins from other fungi
YER121W	YER121W	0.4448	NA	NA	1.042	Putative protein of unknown function; may be involved in phosphatase regulation and/or generation of precursor metabolites and energy
YFL051C	YFL051C	0.4448	NA	NA	0.977	Putative protein of unknown function; YFL051C is not an essential gene
YDR492W	IZH1	0.4447	NA	NA	1.019	Membrane protein involved in zinc metabolism, member of the four-protein IZH family; transcription is regulated directly by Zap1p, expression induced by zinc deficiency and fatty acids; deletion increases sensitivity to elevated zinc
YNL293W	MSB3	0.4447	6	4	1.069	GTPase-activating protein for Sec4p and several other Rab GTPases, regulates exocytosis via its action on Sec4p, also required for proper actin organization; similar to Msb4p; both Msb3p and Msb4p localize to sites of polarized growth
YCR014C	POL4	0.4446	15	NA	0.996	DNA polymerase IV, undergoes pair-wise interactions with Dnl4p-Lif1p and Rad27p to mediate repair of DNA double-strand breaks by non-homologous end joining (NHEJ); homologous to mammalian DNA polymerase beta
YMR065W	KAR5	0.4443	NA	NA	1.032	Protein required for nuclear membrane fusion during karyogamy, localizes to the membrane with a soluble portion in the endoplasmic reticulum lumen, may form a complex with Jem1p and Kar2p; expression of the gene is regulated by pheromone
YGR031W	YGR031W	0.4443	2	NA	1.023	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YDR357C	YDR357C	0.4441	2	NA	1.054	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
YNL175C	NOP13	0.4438	56	1	1.019	Protein of unknown function, localizes to the nucleolus and nucleoplasm; contains an RNA recognition motif (RRM) and has similarity to Nop12p, which is required for processing of pre-18S rRNA
YLR269C	YLR269C	0.4437	NA	NA	1	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YGR040W	KSS1	0.4435	37	NA	0.982	Mitogen-activated protein kinase (MAPK) involved in signal transduction pathways that control filamentous growth and pheromone response
YLR192C	HCR1	0.4433	13	3	0.704	Dual function protein involved in translation initiation as a substoichiometric component of eukaryotic translation initiation factor 3 (eIF3) and required for processing of 20S pre-rRNA; binds to eIF3 subunits Rpg1p and Prt1p and 18S rRNA
YAR050W	FLO1	0.4431	NA	NA	1.026	Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p
YLR144C	ACF2	0.4431	9	NA	1.027	Intracellular beta-1,3-endoglucanase, expression is induced during sporulation; may have a role in cortical actin cytoskeleton assembly
YAL046C	YAL046C	0.4428	1	NA	0.988	Putative protein of unknown function; YAL046C is not an essential gene
YAR023C	YAR023C	0.4427	NA	NA	0.808	Putative integral membrane protein, member of DUP240 gene family
YDR249C	YDR249C	0.4425	NA	2	1.016	Putative protein of unknown function
YDR026C	YDR026C	0.4423	4	NA	1.011	Protein of unknown function that may interact with ribosomes, based on co-purification experiments; Myb-like DNA-binding protein that may bind to the Ter region of rDNA; interacts physically with Fob1p
YNL067W	RPL9B	0.4419	7	NA	0.939	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl9Ap and has similarity to E. coli L6 and rat L9 ribosomal proteins
YPL060W	LPE10	0.4416	1	NA	0.959	Mitochondrial inner membrane magnesium transporter, involved in maintenance of magnesium concentrations inside mitochondria; indirectly affects splicing of group II introns; functionally and structurally related to Mrs2p
YNL193W	YNL193W	0.4413	NA	NA	1.026	Putative protein of unknown function; exhibits a two-hybrid interaction with Yhr151cp in a large-scale analysis
YHR138C	YHR138C	0.4413	2	NA	0.991	Putative protein of unknown function; has similarity to Pbi2p; double null mutant lacking Pbi2p and Yhr138p exhibits highly fragmented vacuoles
YDR379W	RGA2	0.4409	5	NA	1.03	GTPase-activating protein for the polarity-establishment protein Cdc42p; implicated in control of septin organization, pheromone response, and haploid invasive growth
YDL086W	YDL086W	0.4409	1	NA	0.978	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL086W is not an essential gene
YDR312W	SSF2	0.4408	4	1	1.073	Protein required for ribosomal large subunit maturation, functionally redundant with Ssf1p; member of the Brix family
YER109C	FLO8	0.4408	1	NA	0.948	Transcription factor required for flocculation, diploid filamentous growth, and haploid invasive growth; genome reference strain S288C and most laboratory strains have a mutation in this gene
YGR144W	THI4	0.4407	NA	NA	1.029	Thiazole synthase, catalyzes formation of the thiazole moiety of thiamin pyrophosphate; required for thiamine biosynthesis and for mitochondrial genome stability
YIL117C	PRM5	0.4405	NA	NA	0.992	Pheromone-regulated protein, predicted to have 1 transmembrane segment; induced during cell integrity signaling
YGR192C	TDH3	0.4405	20	1	0.972	Glyceraldehyde-3-phosphate dehydrogenase, isozyme 3, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell-wall
YPL033C	YPL033C	0.4399	NA	NA	1.009	Putative protein of unknown function; may be involved in DNA metabolism; expression is induced by Kar4p
YJL216C	YJL216C	0.4396	NA	NA	1.029	Protein of unknown function, similar to alpha-D-glucosidases; transcriptionally activated by both Pdr8p and Yrm1p, along with transporters and other genes involved in the pleiotropic drug resistance (PDR) phenomenon
YPL073C	YPL073C	0.4395	NA	NA	0.985	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps with verified gene UBP16/YPL072W; may interact with ribosome based on co-purification experiments
YMR234W	RNH1	0.4394	3	NA	1.036	Ribonuclease H1, removes RNA primers during Okazaki fragment synthesis; degrades RNA attached to the 5'-end of a DNA strand
YNL127W	FAR11	0.4393	12	1	0.985	Protein involved in G1 cell cycle arrest in response to pheromone, in a pathway different from the Far1p-dependent pathway; interacts with Far3p, Far7p, Far8p, Far9p, and Far10p
YBL028C	YBL028C	0.4391	NA	NA	0.996	Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis
YDL010W	YDL010W	0.4391	NA	NA	0.927	Putative thiol-disulfide oxidoreductase; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; YDL010W is not an essential gene
YLR257W	YLR257W	0.439	1	NA	1.007	Putative protein of unknown function
YLR098C	CHA4	0.4388	NA	1	1.037	DNA binding transcriptional activator, mediates serine/threonine activation of the catabolic L-serine (L-threonine) deaminase (CHA1); Zinc-finger protein with Zn[2]-Cys[6] fungal-type binuclear cluster domain
YKL117W	SBA1	0.4386	12	2	0.949	Co-chaperone that binds to and regulates Hsp90 family chaperones; important for pp60v-src activity in yeast; homologous to the mammalian p23 proteins and like p23 can regulate telomerase activity
YDL238C	GUD1	0.4382	1	NA	0.984	Guanine deaminase, a catabolic enzyme of the guanine salvage pathway producing xanthine and ammonia from guanine; activity is low in exponentially-growing cultures but expression is increased in post-diauxic and stationary-phase cultures
YPR030W	CSR2	0.438	3	2	1	Nuclear protein with a potential regulatory role in utilization of galactose and nonfermentable carbon sources; overproduction suppresses the lethality at high temperature of a chs5 spa2 double null mutation; potential Cdc28p substrate
YOR242C	SSP2	0.438	1	NA	0.976	Sporulation specific protein that localizes to the spore wall; required for sporulation at a point after meiosis II and during spore wall formation; SSP2 expression is induced midway in meiosis
YKL098W	YKL098W	0.4379	NA	1	1.036	Putative protein of unknown function
YER064C	YER064C	0.4378	7	NA	0.992	Non-essential nuclear protein; null mutation has global effects on transcription
YNL027W	CRZ1	0.4374	3	1	1.072	Transcription factor that activates transcription of genes involved in stress response; nuclear localization is positively regulated by calcineurin-mediated dephosphorylation
YPR173C	VPS4	0.4374	10	2	0.818	AAA-type ATPase required for efficient late endosome to vacuole transport; catalyzes the release of an endosomal membrane-associated class E VPS protein complex; regulates cellular sterol metabolism; cytoplasmic and endosomal localization
YGL255W	ZRT1	0.4373	NA	2	0.993	High-affinity zinc transporter of the plasma membrane, responsible for the majority of zinc uptake; transcription is induced under low-zinc conditions by the Zap1p transcription factor
YKL091C	YKL091C	0.4372	1	NA	1.04	Putative homolog of Sec14p, which is a phosphatidylinositol/phosphatidylcholine transfer protein involved in lipid metabolism; localizes to the nucleus
YGR026W	YGR026W	0.4371	NA	NA	1.003	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery
YGL146C	YGL146C	0.4371	2	NA	1.036	Putative protein of unknown function, contains two putative transmembrane spans, shows no significant homology to any other known protein sequence, YGL146C is not an essential gene
YMR151W	YMR151W	0.4369	NA	NA	0.971	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 5% of ORF overlaps the verified gene IMP1
YOL159C	YOL159C	0.4367	NA	NA	1.031	Hypothetical protein
YHR202W	YHR202W	0.4365	1	NA	0.995	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole, while HA-tagged protein is found in the soluble fraction, suggesting cytoplasmic localization
YFR057W	YFR057W	0.4364	NA	NA	0.991	Putative protein of unknown function
YFL047W	RGD2	0.4364	NA	1	0.973	GTPase-activating protein (RhoGAP) for Cdc42p and Rho5p
YLR389C	STE23	0.4363	2	NA	1.014	Metalloprotease involved, with homolog Axl1p, in N-terminal processing of pro-a-factor to the mature form; member of the insulin-degrading enzyme family
YML072C	TCB3	0.4362	13	NA	1.036	Lipid-binding protein, localized to the bud via specific mRNA transport; non-tagged protein localizes to mitochondria and GFP-fusion protein localizes to the cell periphery; C-termini of Tcb1p, Tcb2p and Tcb3p interact
YOR021C	YOR021C	0.4357	1	NA	0.998	Hypothetical protein
YJL138C	TIF2	0.4344	53	1	0.999	Translation initiation factor eIF4A, identical to Tif1p; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G
YDR227W	SIR4	0.4344	10	NA	1.056	Silent information regulator that, together with SIR2 and SIR3, is involved in assembly of silent chromatin domains at telomeres and the silent mating-type loci; potentially phosphorylated by Cdc28p; some alleles of SIR4 prolong lifespan
YNL034W	YNL034W	0.4343	NA	NA	1.092	Putative protein of unknown function; YNL034W is not an essential gene
YKR015C	YKR015C	0.4342	1	NA	1.057	Putative protein of unknown function
YKL214C	YRA2	0.4342	7	1	1.062	Member of the REF (RNA and export factor binding proteins) family; when overexpressed, can substitute for the function of Yra1p in export of poly(A)+ mRNA from the nucleus
YNL299W	TRF5	0.4341	7	5	1.025	Poly (A) polymerase involved in nuclear RNA quality control based on: homology with Trf4p, genetic interactions with TRF4 mutants, physical interaction with Mtr4p (TRAMP subunit), and by direct assay; disputed role as a sigma DNA polymerase
YLR084C	RAX2	0.4336	3	NA	1.025	N-glycosylated protein involved in the maintenance of bud site selection during bipolar budding; localization requires Rax1p
YER158C	YER158C	0.4336	1	NA	1.01	Protein of unknown function, has similarity to Afr1p; potentially phosphorylated by Cdc28p
YEL007W	YEL007W	0.4335	1	2	1.058	Putative protein with sequence similarity to S. pombe gti1+ (gluconate transport inducer 1)
YKL077W	YKL077W	0.4334	NA	NA	1.025	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole
YER154W	OXA1	0.4333	NA	NA	0.939	Mitochondrial inner membrane insertase, mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane, interacts with mitochondrial ribosomes; conserved from bacteria to animals
YPL096W	PNG1	0.4331	1	NA	1.031	Conserved peptide N-glycanase required for deglycosylation of misfolded glycoproteins during proteasome-dependent degradation, localizes to the cytoplasm and nucleus, interacts with the DNA repair protein Rad23p
YOR073W	SGO1	0.4331	5	6	0.849	Component of the spindle checkpoint, involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability
YGL248W	PDE1	0.4327	NA	NA	1.036	Low-affinity cyclic AMP phosphodiesterase, controls glucose and intracellular acidification-induced cAMP signaling, target of the cAMP-protein kinase A (PKA) pathway; glucose induces transcription and inhibits translation
YOR266W	PNT1	0.4325	2	7	1.01	Mitochondrial inner membrane protein involved in export of proteins from the mitochondrial matrix; overexpression of PNT1 confers resistance to the anti-Pneumocystis carinii drug pentamidine, and deletion confers increased sensitivity
YDR295C	HDA2	0.4324	5	1	0.933	Subunit of a possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex containing an Hda1p homodimer and an Hda2p-Hda3p heterodimer; involved in telomere maintenance
YGR126W	YGR126W	0.4322	6	1	0.986	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS
YDR233C	RTN1	0.4322	4	1	0.979	ER membrane protein that interacts with exocyst subunit Sec6p and with Yip3p; null mutant has an altered (mostly cisternal) ER morphology; has similarity to mammalian reticulon proteins and member of the RTNLA (reticulon-like A) subfamily
YDL236W	PHO13	0.4321	1	NA	1.016	Alkaline phosphatase specific for p-nitrophenyl phosphate, involved in dephosphorylation of histone II-A and casein
YPL191C	YPL191C	0.432	2	NA	1.015	Putative protein of unknown function; diploid deletion strain exhibits high budding index; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YER079W	YER079W	0.4319	NA	NA	1.066	Putative protein of unknown function
YLR313C	SPH1	0.4319	1	NA	0.958	Protein involved in shmoo formation and bipolar bud site selection; homologous to Spa2p, localizes to sites of polarized growth in a cell cycle dependent- and Spa2p-dependent manner, interacts with MAPKKs Mkk1p, Mkk2p, and Ste7p
YDR262W	YDR262W	0.4319	NA	NA	0.979	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole and is induced in response to the DNA-damaging agent MMS; gene expression increases in response to Zymoliase treatment
YHR123W	EPT1	0.4319	NA	NA	1.012	sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase; not essential for viability
YFR023W	PES4	0.4318	NA	NA	0.947	Poly(A) binding protein, suppressor of DNA polymerase epsilon mutation, similar to Mip6p
YDR389W	SAC7	0.4317	NA	5	0.94	GTPase activating protein (GAP) for Rho1p, involved in signaling to the actin cytoskeleton, null mutations suppress tor2 mutations and temperature sensitive mutations in actin; potential Cdc28p substrate
YJL131C	YJL131C	0.4317	2	NA	1.008	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YJL131C is not an essential gene
YER175C	TMT1	0.4315	NA	NA	1.017	Trans-aconitate methyltransferase, cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle
YPR031W	NTO1	0.4313	2	NA	1.069	Subunit of the NuA3 histone acetyltransferase complex that acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3
YGL140C	YGL140C	0.4312	1	NA	1.042	Hypothetical protein
YLR271W	YLR271W	0.4311	1	NA	1.005	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS
YKL096W	CWP1	0.431	NA	NA	1.048	Cell wall mannoprotein, linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; involved in cell wall organization
YJR144W	MGM101	0.4309	10	1	0.711	Protein involved in mitochondrial genome maintenance; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage
YLR214W	FRE1	0.4306	NA	NA	1.016	Ferric reductase and cupric reductase, reduces siderophore-bound iron and oxidized copper prior to uptake by transporters; expression induced by low copper and iron levels
YDR504C	SPG3	0.4304	NA	NA	1.038	Protein required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources
YDR223W	CRF1	0.4304	NA	NA	1.022	Transcriptional corepressor involved in the regulation of ribosomal protein gene transcription via the TOR signaling pathway and protein kinase A, phosphorylated by activated Yak1p which promotes accumulation of Crf1p in the nucleus
YOR318C	YOR318C	0.4302	NA	NA	1.034	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; transcript is predicted to be spliced but there is no evidence that it is spliced in vivo
YEL014C	YEL014C	0.4301	NA	NA	1.009	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YMR064W	AEP1	0.4298	3	NA	0.915	Protein required for expression of the mitochondrial OLI1 gene encoding subunit 9 of F1-F0 ATP synthase
YGL222C	EDC1	0.4297	NA	NA	1.012	RNA-binding protein, activates mRNA decapping directly by binding to the mRNA substrate and enhancing the activity of the decapping proteins Dcp1p and Dcp2p
YMR215W	GAS3	0.4296	NA	1	0.989	Putative 1,3-beta-glucanosyltransferase, has similarity to Gas1p; localizes to the cell wall
